抓取日期,發行機構代碼,發行機構名稱,債券名稱,掛牌日期,發行資料
2026-09-04,2201,裕隆汽車製造股份有限公司,裕隆汽車製造股份有限公司國內第三次無擔保轉換公司債,112/05/25,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=22013&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2201&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6117,迎廣科技股份有限公司,迎廣科技股份有限公司國內第二次無擔保轉換公司債,114/05/28,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=61172&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6117&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,1472,三洋實業股份有限公司,三洋實業股份有限公司國內第二次有擔保轉換公司債,114/05/29,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=14722&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=1472&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,4555,台灣氣立股份有限公司,台灣氣立股份有限公司國內第四次有擔保轉換公司債,114/06/09,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=45554&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=4555&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6282,康舒科技股份有限公司,康舒科技股份有限公司國內第二次無擔保轉換公司債,112/06/13,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=62822&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6282&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3617,碩天科技股份有限公司,碩天科技股份有限公司國內第三次無擔保轉換公司債,114/06/16,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=36173&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3617&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,1472,三洋實業股份有限公司,三洋實業股份有限公司國內第三次無擔保轉換公司債,114/06/17,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=14723&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=1472&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2351,順德工業股份有限公司,順德工業股份有限公司國內第一次無擔保轉換公司債,114/06/17,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=23511&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2351&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,1466,聚隆纖維股份有限公司,聚隆纖維股份有限公司國內第四次有擔保轉換公司債,114/06/20,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=14664&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=1466&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3188,鑫龍騰開發股份有限公司,鑫龍騰開發股份有限公司國內第二次無擔保轉換公司債,114/06/20,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=31882&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3188&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2530,大華建設股份有限公司,大華建設股份有限公司國內第三次無擔保轉換公司債,114/06/23,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=25303&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2530&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6156,松上電子股份有限公司,松上電子股份有限公司國內第五次無擔保轉換公司債,114/06/25,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=61565&bond_kind=5&bond_subn=%24M00000001&bond_yrn=5&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6156&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6177,達麗建設事業股份有限公司,達麗建設事業股份有限公司國內第七次無擔保轉換公司債,114/06/25,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=61777&bond_kind=5&bond_subn=%24M00000001&bond_yrn=7&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6177&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2247,汎德永業汽車股份有限公司,汎德永業汽車股份有限公司國內第一次無擔保轉換公司債,114/06/26,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=22471&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2247&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2247,汎德永業汽車股份有限公司,汎德永業汽車股份有限公司國內第二次無擔保轉換公司債,114/06/30,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=22472&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2247&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3040,遠見科技股份有限公司,遠見科技股份有限公司國內第一次無擔保轉換公司債,114/06/30,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=30401&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3040&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2530,大華建設股份有限公司,大華建設股份有限公司第四次無擔保轉換公司債,114/06/30,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=25304&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2530&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6982,大井泵浦工業股份有限公司,大井泵浦工業股份有限公司國內第一次無擔保轉換公司債,114/07/23,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=69821&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6982&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6469,大樹醫藥股份有限公司,大樹醫藥股份有限公司國內第三次無擔保轉換公司債,114/07/28,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=64693&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6469&monyr_reg=202608&pg=&step=0&tg=
